City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clyde river,70.4692,-68.5914,-15.87,72,75,12.35,CA,1681302694
1,kloulklubed,7.0419,134.2556,26.28,74,100,4.13,PW,1681302697
2,dikson,73.5069,80.5464,-19.33,92,96,8.95,RU,1681302698
3,busselton,-33.65,115.3333,18.94,76,100,5.9,AU,1681302699
4,yumen,40.2833,97.2,12.99,30,100,7.88,CN,1681302701
5,sumbe,-11.2061,13.8437,28.94,75,100,3.38,AO,1681302702
6,ushuaia,-54.8,-68.3,3.81,60,100,6.17,AR,1681302470
7,ponta do sol,32.6667,-17.1,22.62,69,0,1.84,PT,1681302703
8,port elizabeth,-33.918,25.5701,22.83,69,0,4.63,ZA,1681302704
9,cabo san lucas,22.8909,-109.9124,19.61,56,0,6.16,MX,1681302704
10,san luis,-33.295,-66.3356,14.75,86,100,7.07,AR,1681302705
11,zhigansk,66.7697,123.3711,-18.88,100,66,0.72,RU,1681302706
12,durres,41.3231,19.4414,19.1,71,12,3.61,AL,1681302707
13,barrow,71.2906,-156.7887,-22.99,84,0,3.09,US,1681302708
14,saint-philippe,-21.3585,55.7679,28.77,90,93,1.01,RE,1681302709
15,palmer,42.1584,-72.3287,17.48,30,75,8.75,US,1681302709
16,oranjemund,-28.55,16.4333,18.81,59,19,6.29,NA,1681302713
17,puerto ayora,-0.7393,-90.3518,24.75,94,85,0.75,EC,1681302713
18,porto novo,6.4965,2.6036,31.9,57,100,3.96,BJ,1681302714
19,dejen,10.1667,38.1333,22.95,35,100,2.73,ET,1681302714
20,saint george,37.1041,-113.5841,16.33,31,0,0.0,US,1681302627
21,chicama,-7.8447,-79.1469,25.3,85,81,1.76,PE,1681302719
22,mataura,-46.1927,168.8643,11.38,99,100,2.34,NZ,1681302720
23,saldanha,-33.0117,17.9442,22.03,71,100,4.46,ZA,1681302721
24,la ronge,55.1001,-105.2842,1.14,93,100,4.12,CA,1681302723
25,tasiilaq,65.6145,-37.6368,1.09,94,100,6.02,GL,1681302724
26,jiayuguan,39.8167,98.3,12.69,30,21,10.94,CN,1681302685
27,tazovskiy,67.4667,78.7,-22.84,96,99,4.2,RU,1681302726
28,georgetown,5.4112,100.3354,30.96,78,20,3.09,MY,1681302637
29,te anau,-45.4167,167.7167,10.19,97,100,2.39,NZ,1681302727
30,soyo,-6.1349,12.3689,27.99,75,100,3.48,AO,1681302728
31,ruiru,-1.1606,36.9567,25.57,53,75,5.14,KE,1681302728
32,kodiak,57.79,-152.4072,2.73,65,0,6.17,US,1681302729
33,opuwo,-18.0607,13.84,34.16,17,5,1.62,NA,1681302729
34,los llanos de aridane,28.6585,-17.9182,21.86,60,20,7.72,ES,1681302730
35,castro,-24.7911,-50.0119,21.75,69,0,1.94,BR,1681302731
36,okhotsk,59.3833,143.3,-13.4,94,12,1.15,RU,1681302732
37,santa cruz de la palma,28.6835,-17.7642,24.08,60,20,7.72,ES,1681302732
38,griffith,41.5284,-87.4237,16.61,60,0,3.6,US,1681302733
39,nikolskoye,59.7035,30.7861,15.94,51,6,2.56,RU,1681302733
40,rikitea,-23.1203,-134.9692,24.97,69,83,5.34,PF,1681302734
41,hithadhoo,-0.6,73.0833,28.55,69,52,1.35,MV,1681302735
42,awbari,26.5921,12.7805,24.59,12,0,1.6,LY,1681302736
43,albany,42.6001,-73.9662,15.2,47,100,1.79,US,1681302723
44,poum,-20.2333,164.0167,26.21,77,15,3.41,NC,1681302737
45,chapada dos guimaraes,-15.4606,-55.7497,22.81,79,100,2.38,BR,1681302739
46,avarua,-21.2078,-159.775,25.03,83,18,1.03,CK,1681302740
47,jamestown,42.097,-79.2353,16.12,57,0,5.14,US,1681302723
48,somova,45.1833,28.6667,13.16,59,40,5.14,RO,1681302742
49,beni suef,29.0731,31.0979,22.28,26,100,11.6,EG,1681302743
50,kapaa,22.0752,-159.319,22.18,90,75,8.75,US,1681302746
51,punta arenas,-53.15,-70.9167,2.01,86,20,2.57,CL,1681302752
52,wattegama,6.7989,81.4808,26.61,77,100,2.08,LK,1681302753
53,mezen,65.8522,44.24,-7.63,84,100,5.61,RU,1681302754
54,tiksi,71.6872,128.8694,-25.6,100,87,1.39,RU,1681302755
55,atuona,-9.8,-139.0333,26.99,71,100,6.48,PF,1681302609
56,gazanjyk,39.2446,55.5154,34.17,14,100,8.02,TM,1681302756
57,mar del plata,-38.0023,-57.5575,16.72,74,75,3.09,AR,1681302757
58,novyy urengoy,66.0833,76.6333,-20.79,95,100,4.07,RU,1681302758
59,east london,-33.0153,27.9116,21.52,64,0,4.63,ZA,1681302759
60,narsaq,60.9167,-46.05,0.12,61,1,1.34,GL,1681302760
61,iranshahr,27.2025,60.6848,36.19,15,40,4.12,IR,1681302762
62,madras,13.0878,80.2785,33.99,68,20,4.12,IN,1681302637
63,bethel,41.3712,-73.414,19.05,45,0,3.09,US,1681302765
64,chokurdakh,70.6333,147.9167,-20.52,92,100,1.7,RU,1681302765
65,north bend,43.4065,-124.2243,6.03,80,75,5.14,US,1681302767
66,christchurch,-43.5333,172.6333,13.84,91,75,3.09,NZ,1681302603
67,vaini,-21.2,-175.2,27.09,89,40,4.12,TO,1681302768
68,makakilo city,21.3469,-158.0858,23.18,74,0,6.17,US,1681302769
69,hobart,-42.8794,147.3294,14.03,94,75,2.06,AU,1681302553
70,touho,-20.7833,165.2333,25.37,81,21,1.82,NC,1681302770
71,souillac,-20.5167,57.5167,29.21,70,75,3.6,MU,1681302771
72,sabang,5.8933,95.3214,28.87,73,74,4.98,ID,1681302771
73,waingapu,-9.6567,120.2641,26.18,87,100,2.35,ID,1681302772
74,carnarvon,-24.8667,113.6333,22.59,70,5,10.2,AU,1681302773
75,palasa,18.7667,84.4167,29.39,64,0,2.51,IN,1681302774
76,ayorou,14.7308,0.9174,40.07,7,100,6.58,NE,1681302774
77,leningradskiy,69.3833,178.4167,-20.43,97,100,2.54,RU,1681302775
78,talnakh,69.4865,88.3972,-21.57,98,100,1.63,RU,1681302776
79,daru,-9.0763,143.2092,26.59,83,88,2.71,PG,1681302777
80,tuktoyaktuk,69.4541,-133.0374,-21.18,97,100,3.37,CA,1681302777
81,lebedinyy,58.5167,125.5167,-11.45,97,100,1.12,RU,1681302778
82,hermanus,-34.4187,19.2345,20.45,61,100,4.09,ZA,1681302778
83,santiago del estero,-27.7951,-64.2615,25.13,64,66,1.91,AR,1681302712
84,saskylakh,71.9167,114.0833,-13.12,88,100,7.64,RU,1681302779
85,sainte-martine,45.2501,-73.7992,9.14,54,100,2.57,CA,1681302780
86,butaritari,3.0707,172.7902,27.36,76,100,3.23,KI,1681302780
87,kaitangata,-46.2817,169.8464,11.68,96,100,5.35,NZ,1681302783
88,lasa,46.6166,10.7002,11.12,84,97,2.33,IT,1681302784
89,airai,-8.9266,125.4092,16.55,95,100,0.72,TL,1681302787
90,bandarbeyla,9.4942,50.8122,29.22,67,24,5.16,SO,1681302788
91,bluff,-46.6,168.3333,11.56,88,100,9.35,NZ,1681302508
92,corner brook,48.9667,-57.9484,2.09,81,100,2.03,CA,1681302626
93,lishu,43.3047,124.3278,7.66,28,15,2.7,CN,1681302791
94,ribeira grande,38.5167,-28.7,17.22,88,40,5.66,PT,1681302791
95,oktyabrskiy,54.4815,53.471,15.24,27,57,3.08,RU,1681302792
96,cam ranh,11.9214,109.1591,28.98,70,40,2.06,VN,1681302792
97,damghan,36.1683,54.348,27.53,16,97,8.32,IR,1681302793
98,pevek,69.7008,170.3133,-22.72,97,100,1.54,RU,1681302793
99,jacareacanga,-6.2222,-57.7528,27.94,72,100,1.62,BR,1681302794
100,khatanga,71.9667,102.5,-8.44,82,100,11.8,RU,1681302796
101,guerrero negro,27.9769,-114.0611,12.99,85,100,6.39,MX,1681302797
102,codrington,-38.2667,141.9667,15.26,94,97,3.19,AU,1681302798
103,matara,5.9485,80.5353,28.17,77,100,4.77,LK,1681302798
104,sorland,67.667,12.6934,7.92,82,100,7.86,NO,1681302799
105,port alfred,-33.5906,26.891,20.66,70,100,1.34,ZA,1681302800
106,fort saint james,54.4333,-124.25,-6.76,99,72,1.0,CA,1681302800
107,yellowknife,62.456,-114.3525,-10.71,79,20,3.6,CA,1681302614
